,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,time,id
1005,48.98449483859351,69.81437268433801,15.941440064365096,26.349920600895768,806.9853116304467,48.360299410954845,2015,7,安徽省,2015下半年,1
998,41.146905532412994,60.98202698882653,15.215220785852813,15.34297213711112,841.7587205410388,55.93891040000307,2015,7,湖南省,2015下半年,1
1007,39.320754092588636,61.81746713467367,15.083794705942859,18.921421609817465,913.068786742307,56.95541303496403,2015,7,陕西省,2015下半年,1
1012,46.72002369602817,69.65925586604986,30.513371470471785,23.92334214543219,1291.8623379803282,54.86033138753439,2015,7,山西省,2015下半年,1
1020,61.96621960872162,84.18097642871366,10.546089879530069,33.487530814416566,1034.7373307447233,59.16999773496615,2015,7,北京市,2015下半年,1
1003,37.213251341079115,53.19523189242501,12.247265541683708,26.52245184142792,680.6484769029693,56.78018854489909,2015,7,浙江省,2015下半年,1
994,23.692544802867378,36.44809856630824,7.454602150537635,25.23548387096774,565.3342293906809,62.33147222222221,2015,7,香港,2015下半年,1
1008,62.80576031640093,99.35779355580274,23.12861891731554,31.38898318625634,1191.8492769744162,55.79085728834507,2015,7,河南省,2015下半年,1
993,33.636422427276635,47.677930350754515,13.60377334394076,10.394327796526573,722.9785824558559,54.776290706001966,2015,7,广西壮族自治区,2015下半年,1
1010,8.959397936338545,9.6897801175646,0.9213559058778781,0.9710595565558052,143.21118542546623,79.01182250785702,2015,7,青海省,2015下半年,1
1015,56.165004541454714,85.46798765265169,19.593556135041748,29.784170950571973,1031.0509067885735,57.416444090314,2015,7,河北省,2015下半年,1
1019,45.18575011495017,64.35743690482127,19.70098848836372,22.163927237927467,958.3428922016695,56.68144807853175,2015,7,辽宁省,2015下半年,1
1000,24.469976097596938,34.69177977599822,7.545093457231379,9.04536859585007,464.06517801337594,64.20923216975741,2015,7,四川省,2015下半年,1
